,Date,Location,Reduction_in_coverage,Running_total,Location_running_total
228,2044-09-01,Coverage_OUT_CA_PGE_BAY[Percent],19.0,6447.0,841.0
229,2045-08-01,Coverage_OUT_CA_PGE_BAY[Percent],-25.0,6070.0,816.0
230,2045-09-01,Coverage_OUT_CA_PGE_BAY[Percent],-41.0,5961.0,775.0
231,2045-10-01,Coverage_OUT_CA_PGE_BAY[Percent],-42.0,5854.0,733.0
232,2045-11-01,Coverage_OUT_CA_PGE_BAY[Percent],-6.0,5626.0,727.0
233,2046-04-01,Coverage_OUT_CA_PGE_BAY[Percent],-5.0,5090.0,722.0
234,2046-05-01,Coverage_OUT_CA_PGE_BAY[Percent],-10.0,5036.0,712.0
235,2046-08-01,Coverage_OUT_CA_PGE_BAY[Percent],-26.0,4712.0,686.0
236,2046-09-01,Coverage_OUT_CA_PGE_BAY[Percent],-40.0,4543.0,646.0
237,2046-10-01,Coverage_OUT_CA_PGE_BAY[Percent],-39.0,4148.0,607.0
238,2046-11-01,Coverage_OUT_CA_PGE_BAY[Percent],-20.0,3730.0,587.0
239,2047-08-01,Coverage_OUT_CA_PGE_BAY[Percent],3.0,3021.0,590.0
240,2047-09-01,Coverage_OUT_CA_PGE_BAY[Percent],7.0,2984.0,597.0
241,2047-10-01,Coverage_OUT_CA_PGE_BAY[Percent],-7.0,2857.0,590.0
242,2047-11-01,Coverage_OUT_CA_PGE_BAY[Percent],4.0,2649.0,594.0
243,2048-07-01,Coverage_OUT_CA_PGE_BAY[Percent],-8.0,1984.0,586.0
244,2048-08-01,Coverage_OUT_CA_PGE_BAY[Percent],-39.0,1915.0,547.0
245,2048-09-01,Coverage_OUT_CA_PGE_BAY[Percent],-64.0,1793.0,483.0
246,2048-10-01,Coverage_OUT_CA_PGE_BAY[Percent],-17.0,1556.0,466.0
247,2051-07-01,Coverage_OUT_CA_PGE_BAY[Percent],-5.0,1350.0,461.0
248,2051-08-01,Coverage_OUT_CA_PGE_BAY[Percent],-24.0,1137.0,437.0
249,2051-09-01,Coverage_OUT_CA_PGE_BAY[Percent],-20.0,1003.0,417.0
250,2051-10-01,Coverage_OUT_CA_PGE_BAY[Percent],-14.0,846.0,403.0
251,2051-11-01,Coverage_OUT_CA_PGE_BAY[Percent],-26.0,893.0,377.0
252,2051-12-01,Coverage_OUT_CA_PGE_BAY[Percent],-30.0,812.0,347.0
253,2052-07-01,Coverage_OUT_CA_PGE_BAY[Percent],-84.0,663.0,263.0
254,2052-08-01,Coverage_OUT_CA_PGE_BAY[Percent],-63.0,503.0,200.0
255,2052-09-01,Coverage_OUT_CA_PGE_BAY[Percent],-54.0,366.0,146.0
256,2052-10-01,Coverage_OUT_CA_PGE_BAY[Percent],-45.0,232.0,101.0
257,2052-11-01,Coverage_OUT_CA_PGE_BAY[Percent],-43.0,327.0,58.0
258,2052-12-01,Coverage_OUT_CA_PGE_BAY[Percent],-20.0,398.0,38.0
259,2053-05-01,Coverage_OUT_CA_PGE_BAY[Percent],-26.0,58.0,12.0
260,2053-08-01,Coverage_OUT_CA_PGE_BAY[Percent],-45.0,214.0,-33.0
261,2053-09-01,Coverage_OUT_CA_PGE_BAY[Percent],-32.0,82.0,-65.0
262,2053-10-01,Coverage_OUT_CA_PGE_BAY[Percent],4.0,17.0,-61.0
263,2053-11-01,Coverage_OUT_CA_PGE_BAY[Percent],-8.0,180.0,-69.0
264,2054-07-01,Coverage_OUT_CA_PGE_BAY[Percent],22.0,939.0,-47.0
265,2054-08-01,Coverage_OUT_CA_PGE_BAY[Percent],39.0,1011.0,-8.0
266,2054-09-01,Coverage_OUT_CA_PGE_BAY[Percent],16.0,1005.0,8.0
267,2056-08-01,Coverage_OUT_CA_PGE_BAY[Percent],16.0,2041.0,24.0
268,2056-09-01,Coverage_OUT_CA_PGE_BAY[Percent],3.0,2036.0,27.0
269,2056-10-01,Coverage_OUT_CA_PGE_BAY[Percent],4.0,2038.0,31.0
270,2057-06-01,Coverage_OUT_CA_PGE_BAY[Percent],-75.0,2282.0,-44.0
271,2057-07-01,Coverage_OUT_CA_PGE_BAY[Percent],-33.0,2187.0,-77.0
272,2057-08-01,Coverage_OUT_CA_PGE_BAY[Percent],-53.0,2060.0,-130.0
273,2057-09-01,Coverage_OUT_CA_PGE_BAY[Percent],-10.0,1965.0,-140.0
